,ORDERDATE,YEAR,MONTH,QUARTER,QUANTITY_ORDERED,PRICE_EACH,MSRP,SALES,STATUS,PRODUCT_LINE,STATE,DEAL_SIZE
58,2003-10-10,2003,10,4,37,100.0,118,5016.83,5,1,1,1
59,2003-10-28,2003,10,4,27,100.0,118,3660.93,5,1,1,1
60,2003-11-11,2003,11,4,42,100.0,118,4695.6,5,1,1,1
61,2003-11-18,2003,11,4,38,96.34,118,3660.92,5,1,1,1
62,2003-12-01,2003,12,4,24,100.0,118,3025.92,5,1,1,1
63,2004-01-12,2004,1,1,23,100.0,118,3009.09,5,1,10,1
64,2004-02-20,2004,2,1,47,100.0,118,5422.39,5,1,15,1
65,2004-04-03,2004,4,2,22,100.0,118,2852.08,5,1,11,2
66,2004-05-18,2004,5,2,44,100.0,118,5756.52,5,1,6,1
67,2004-06-28,2004,6,2,40,100.0,118,4472.0,5,1,2,1
68,2004-07-23,2004,7,3,22,100.0,118,2904.44,5,1,1,2
69,2004-08-27,2004,8,3,47,100.0,118,6484.59,5,1,4,1
70,2004-09-27,2004,9,3,39,96.34,118,3757.26,5,1,1,1
71,2004-10-15,2004,10,4,34,100.0,118,4043.96,5,1,9,1
72,2004-11-02,2004,11,4,45,100.0,118,5566.5,5,1,11,1
73,2004-11-15,2004,11,4,20,100.0,118,3176.0,5,1,9,1
74,2004-11-23,2004,11,4,40,68.92,118,2756.8,5,1,14,2
75,2004-12-17,2004,12,4,26,51.15,118,1329.9,5,1,7,2
76,2005-02-02,2005,2,1,39,100.0,118,5288.01,5,1,13,1
77,2005-03-03,2005,3,1,50,44.51,118,2225.5,5,1,4,2
78,2005-04-07,2005,4,2,45,100.0,118,5833.8,5,1,1,1
79,2005-05-13,2005,5,2,45,100.0,118,5887.35,1,1,1,1
80,2003-02-24,2003,2,1,27,100.0,193,6065.55,5,1,9,1
82,2003-07-01,2003,7,3,31,100.0,193,7023.98,5,1,1,0
83,2003-08-25,2003,8,3,33,100.0,193,5176.38,5,1,1,1
84,2003-10-10,2003,10,4,22,100.0,193,4132.7,5,1,1,1
85,2003-10-28,2003,10,4,20,100.0,193,4183.0,5,1,1,1
89,2004-01-12,2004,1,1,34,100.0,193,6123.4,5,1,10,1
91,2004-04-05,2004,4,2,39,100.0,193,7023.9,5,1,9,0
92,2004-05-18,2004,5,2,43,100.0,193,7078.23,5,1,6,0
94,2004-07-23,2004,7,3,36,100.0,193,6901.92,5,1,1,1
95,2004-08-27,2004,8,3,27,100.0,193,5438.07,5,1,4,1
96,2004-09-30,2004,9,3,29,100.0,193,6683.34,5,1,1,1
97,2004-10-15,2004,10,4,20,100.0,193,4570.4,5,1,9,1
98,2004-11-02,2004,11,4,37,100.0,193,7667.14,5,1,11,0
99,2004-11-15,2004,11,4,26,100.0,193,5868.2,5,1,9,1
100,2004-11-23,2004,11,4,39,76.67,193,2990.13,5,1,14,2
101,2005-01-05,2005,1,1,22,100.0,193,3664.1,5,1,1,1
102,2005-02-02,2005,2,1,22,100.0,193,3834.38,5,1,13,1
103,2005-03-03,2005,3,1,21,86.77,193,1822.17,5,1,4,2
106,2003-02-11,2003,2,1,50,100.0,136,7208.0,5,0,1,0
107,2003-04-28,2003,4,2,46,100.0,136,5004.8,5,0,1,1
108,2003-06-12,2003,6,2,33,100.0,136,4398.24,5,0,1,1
109,2003-08-10,2003,8,3,49,100.0,136,5597.76,5,0,4,1
110,2003-10-06,2003,10,4,32,100.0,136,4526.08,5,0,1,1
111,2003-10-23,2003,10,4,44,100.0,136,5924.16,0,0,1,1
112,2003-11-08,2003,11,4,24,100.0,136,3492.48,5,0,1,1
113,2003-11-14,2003,11,4,26,100.0,136,3854.24,5,0,1,1
114,2003-11-26,2003,11,4,45,100.0,136,5324.4,5,0,1,1
115,2004-01-09,2004,1,1,39,100.0,136,5197.92,5,0,1,1
116,2004-02-19,2004,2,1,49,100.0,136,5997.6,5,0,1,1
117,2004-05-07,2004,5,2,20,100.0,136,2910.4,0,0,9,2
118,2004-06-17,2004,6,2,27,100.0,136,3378.24,5,0,12,1
119,2004-07-21,2004,7,3,30,100.0,136,3508.8,5,0,1,1
120,2004-08-20,2004,8,3,25,100.0,136,2992.0,5,0,0,2
121,2004-09-10,2004,9,3,24,100.0,136,3427.2,5,0,4,1
122,2004-10-14,2004,10,4,22,100.0,136,2692.8,5,0,11,2
123,2004-11-01,2004,11,4,33,100.0,136,4128.96,5,0,3,1
124,2004-11-05,2004,11,4,47,64.93,136,3051.71,5,0,1,1
125,2004-11-21,2004,11,4,25,48.05,136,1201.25,5,0,9,2
126,2004-12-02,2004,12,4,26,75.47,136,1962.22,5,0,1,2
127,2004-12-15,2004,12,4,48,54.68,136,2624.64,5,0,1,2
128,2005-01-31,2005,1,1,39,100.0,136,4046.25,5,0,1,1
129,2005-02-23,2005,2,1,34,100.0,136,4846.7,5,0,1,1
130,2005-03-17,2005,3,1,32,100.0,136,3370.56,5,0,1,1
132,2005-05-06,2005,5,2,19,100.0,136,2764.88,3,0,4,2
133,2003-01-29,2003,1,1,42,100.0,147,5398.26,5,0,1,1
134,2003-04-01,2003,4,2,31,100.0,147,4305.28,5,0,1,1
135,2003-05-28,2003,5,2,22,100.0,147,3347.74,5,0,1,1
136,2003-07-24,2003,7,3,26,100.0,147,3188.12,5,0,1,1
137,2003-09-19,2003,9,3,20,100.0,147,3191.2,5,0,1,1
138,2003-10-21,2003,10,4,21,100.0,147,3536.82,4,0,1,1
139,2003-11-06,2003,11,4,33,100.0,147,5362.83,5,0,1,1
140,2003-11-13,2003,11,4,28,100.0,147,3433.36,5,0,11,1
141,2003-11-25,2003,11,4,26,100.0,147,4263.74,5,0,1,1
142,2003-12-09,2003,12,4,31,100.0,147,4076.19,5,0,4,1
143,2004-02-04,2004,2,1,48,100.0,147,7020.48,5,0,1,0
144,2004-03-11,2004,3,1,50,100.0,147,6426.5,5,0,1,1
145,2004-05-04,2004,5,2,28,100.0,147,4591.72,5,0,2,1
146,2004-06-15,2004,6,2,26,100.0,147,4033.38,5,0,1,1
147,2004-07-19,2004,7,3,32,100.0,147,4302.08,5,0,7,1
148,2004-08-19,2004,8,3,44,100.0,147,7020.64,5,0,11,0
149,2004-09-08,2004,9,3,30,100.0,147,3855.9,5,0,1,1
150,2004-10-13,2004,10,4,38,100.0,147,6680.78,5,0,4,1
151,2004-10-22,2004,10,4,40,100.0,147,6678.0,5,0,0,1
152,2004-11-04,2004,11,4,46,61.99,147,2851.54,5,0,5,2
153,2004-11-19,2004,11,4,26,100.0,147,3188.12,3,0,1,1
154,2004-11-29,2004,11,4,27,100.0,147,4428.0,5,0,15,1
155,2004-12-10,2004,12,4,43,100.0,147,5780.92,5,0,1,1
156,2005-01-20,2005,1,1,35,65.63,147,2297.05,5,0,7,2
157,2005-02-17,2005,2,1,37,100.0,147,6231.54,5,0,1,1
158,2005-03-09,2005,3,1,37,46.9,147,1735.3,5,0,7,2
159,2005-05-01,2005,5,2,27,100.0,147,4427.73,5,0,12,1
160,2005-05-31,2005,5,2,38,100.0,147,5894.94,2,0,1,1
161,2003-03-03,2003,3,1,33,100.0,194,5265.15,5,0,1,1
162,2003-05-08,2003,5,2,42,100.0,194,7599.9,5,0,1,0
166,2003-11-04,2003,11,4,30,100.0,194,5019.9,5,0,7,1
167,2003-11-12,2003,11,4,27,100.0,194,5411.07,5,0,1,1
168,2003-11-20,2003,11,4,21,100.0,194,3840.9,5,0,1,1
169,2003-12-02,2003,12,4,20,100.0,194,3930.4,5,0,1,1
170,2004-01-15,2004,1,1,41,100.0,194,7498.9,5,0,1,0
171,2004-02-22,2004,2,1,27,100.0,194,4517.91,5,0,1,1
172,2004-04-09,2004,4,2,28,100.0,194,5774.72,5,0,1,1
173,2004-06-01,2004,6,2,24,100.0,194,3922.56,0,0,1,1
176,2004-08-30,2004,8,3,21,100.0,194,3432.24,5,0,1,1
177,2003-10-04,2003,10,4,33,100.0,194,5521.89,5,0,1,1
178,2004-10-16,2004,10,4,33,100.0,194,6934.62,5,0,1,1
179,2004-11-03,2004,11,4,31,100.0,194,6876.11,5,0,1,1
180,2004-11-15,2004,11,4,41,71.47,194,2930.27,5,0,9,2
181,2004-11-24,2004,11,4,45,79.65,194,3584.25,5,0,1,1
182,2005-01-06,2005,1,1,33,85.39,194,2817.87,5,0,1,2
183,2005-02-03,2005,2,1,45,76.0,194,3420.0,5,0,1,1
184,2005-03-03,2005,3,1,26,99.04,194,2575.04,5,0,1,2
185,2005-05-17,2005,5,2,12,100.0,194,1961.28,5,0,1,2
212,2003-01-29,2003,1,1,27,100.0,136,3394.98,5,5,1,1
213,2003-03-26,2003,3,1,21,100.0,136,3415.44,5,5,1,1
214,2003-05-28,2003,5,2,21,100.0,136,2439.57,5,5,1,2
215,2003-07-24,2003,7,3,38,100.0,136,4829.8,5,5,1,1
216,2003-09-19,2003,9,3,30,100.0,136,4100.1,5,5,1,1
217,2003-10-21,2003,10,4,49,100.0,136,6563.06,4,5,1,1
218,2003-11-06,2003,11,4,43,100.0,136,6817.22,5,5,13,1
219,2003-11-13,2003,11,4,41,100.0,136,6163.94,5,5,11,1
220,2003-11-25,2003,11,4,38,100.0,136,4933.92,5,5,1,1
221,2003-12-05,2003,12,4,28,100.0,136,4056.36,5,5,0,1
222,2004-02-02,2004,2,1,43,100.0,136,5759.42,5,5,1,1
223,2004-03-11,2004,3,1,25,100.0,136,3451.0,5,5,1,1
224,2004-05-04,2004,5,2,38,100.0,136,5920.4,5,5,2,1
225,2004-06-15,2004,6,2,41,100.0,136,6668.24,5,5,14,1
226,2004-07-19,2004,7,3,28,100.0,136,4094.72,5,5,7,1
227,2004-08-19,2004,8,3,25,100.0,136,2938.5,5,5,11,2
228,2004-09-08,2004,9,3,41,100.0,136,6387.8,5,5,1,1
229,2004-10-11,2004,10,4,39,100.0,136,6396.0,5,5,1,1
230,2004-10-22,2004,10,4,21,100.0,136,2669.1,5,5,0,2
231,2004-11-04,2004,11,4,27,100.0,136,4784.13,5,5,5,1
232,2004-11-18,2004,11,4,33,99.21,136,3273.93,5,5,1,1
233,2004-11-29,2004,11,4,29,100.0,136,3586.43,5,5,15,1
234,2004-12-10,2004,12,4,49,100.0,136,5960.36,5,5,1,1
236,2005-02-17,2005,2,1,20,100.0,136,2952.0,5,5,1,2
237,2005-03-09,2005,3,1,39,63.2,136,2464.8,5,5,7,2
238,2005-05-01,2005,5,2,40,100.0,136,6232.0,5,5,12,1
240,2003-02-24,2003,2,1,21,100.0,150,3036.6,5,1,9,1
242,2003-07-01,2003,7,3,20,100.0,150,2711.2,5,1,1,2
244,2003-10-10,2003,10,4,38,100.0,150,6238.84,5,1,1,1
245,2003-11-04,2003,11,4,35,100.0,150,4639.25,5,1,7,1
246,2003-11-11,2003,11,4,40,100.0,150,6747.6,5,1,1,1
247,2003-11-18,2003,11,4,28,100.0,150,4512.48,5,1,1,1
248,2003-12-01,2003,12,4,25,100.0,150,4029.0,5,1,1,1
249,2004-01-15,2004,1,1,36,100.0,150,4771.8,5,1,1,1
250,2004-02-21,2004,2,1,43,100.0,150,6087.94,5,1,1,1
251,2004-04-05,2004,4,2,32,100.0,150,4193.28,5,1,9,1
252,2004-05-18,2004,5,2,46,100.0,150,7552.28,5,1,6,0
253,2004-06-28,2004,6,2,48,100.0,150,6434.4,5,1,2,1
254,2004-08-02,2004,8,3,43,100.0,150,5181.5,5,1,4,1
255,2004-08-27,2004,8,3,49,100.0,150,6863.92,5,1,4,1
256,2004-09-30,2004,9,3,24,100.0,150,4157.04,5,1,1,1
257,2004-10-15,2004,10,4,26,100.0,150,4660.24,5,1,1,1
258,2004-11-03,2004,11,4,30,100.0,150,4111.8,5,1,9,1
259,2004-11-15,2004,11,4,24,100.0,150,3542.64,5,1,9,1
261,2005-01-05,2005,1,1,22,100.0,150,3877.06,5,1,1,1
262,2005-02-03,2005,2,1,49,78.92,150,3867.08,5,1,1,1
263,2005-03-03,2005,3,1,44,100.0,150,5951.44,5,1,4,1
265,2005-05-13,2005,5,2,21,100.0,150,3447.78,1,1,1,1
266,2003-01-31,2003,1,1,34,100.0,151,5958.5,5,0,1,1
267,2003-04-16,2003,4,2,43,100.0,151,5911.64,5,0,1,1
268,2003-06-03,2003,6,2,46,100.0,151,7366.44,5,0,9,0
269,2003-08-08,2003,8,3,33,100.0,151,4985.64,5,0,1,1
270,2003-09-28,2003,9,3,42,100.0,151,5393.64,5,0,1,1
271,2003-10-22,2003,10,4,34,100.0,151,4880.02,5,0,1,1
273,2003-11-14,2003,11,4,33,100.0,151,4038.21,5,0,4,1
274,2003-11-26,2003,11,4,24,100.0,151,3807.12,5,0,2,1
275,2004-01-02,2004,1,1,26,100.0,151,3142.36,5,0,1,1
276,2004-02-12,2004,2,1,30,100.0,151,4713.6,5,0,1,1
277,2004-03-15,2004,3,1,43,100.0,151,7016.31,5,0,1,0
278,2004-05-05,2004,5,2,25,100.0,151,4381.25,5,0,1,1
279,2004-07-20,2004,7,3,27,100.0,151,4283.01,5,0,11,1
280,2004-08-20,2004,8,3,27,100.0,151,4364.82,5,0,1,1
281,2004-09-09,2004,9,3,24,100.0,151,4242.24,5,0,1,1
282,2004-10-14,2004,10,4,34,100.0,151,4982.7,5,0,1,1
283,2004-10-22,2004,10,4,46,100.0,151,6393.54,5,0,1,1
284,2004-11-05,2004,11,4,27,54.33,151,1466.91,5,0,9,2
285,2004-11-20,2004,11,4,33,100.0,151,4059.33,5,0,1,1
286,2004-11-01,2004,11,4,47,100.0,151,4801.52,5,0,1,1
287,2004-12-10,2004,12,4,49,55.34,151,2711.66,5,0,1,2
288,2005-01-26,2005,1,1,40,100.0,151,5862.0,5,0,14,1
289,2005-02-17,2005,2,1,37,100.0,151,4071.85,5,0,1,1
291,2003-03-03,2003,3,1,45,100.0,117,6130.35,5,0,1,1
292,2003-05-08,2003,5,2,37,99.82,117,3693.34,5,0,1,1
293,2003-07-02,2003,7,3,48,100.0,117,6031.68,5,0,1,1
294,2003-09-05,2003,9,3,31,100.0,117,3494.94,5,0,4,1
295,2003-10-11,2003,10,4,46,100.0,117,5294.14,5,0,1,1
296,2003-11-04,2003,11,4,47,100.0,117,5464.69,5,0,1,1
297,2003-11-12,2003,11,4,28,100.0,117,2860.76,5,0,1,2
298,2003-11-20,2003,11,4,40,100.0,117,5590.0,5,0,1,1
299,2003-12-02,2003,12,4,20,100.0,117,2254.8,5,0,1,2
300,2004-01-16,2004,1,1,39,100.0,117,4946.76,5,0,1,1
301,2004-02-22,2004,2,1,25,99.82,117,2495.5,5,0,1,2
302,2004-04-09,2004,4,2,29,100.0,117,3167.38,5,0,1,1
303,2004-06-01,2004,6,2,22,100.0,117,2402.84,0,0,1,2
304,2004-07-06,2004,7,3,22,100.0,117,2454.54,5,0,1,2
305,2004-08-02,2004,8,3,47,100.0,117,5464.69,5,0,4,1
306,2004-08-30,2004,8,3,45,100.0,117,4756.5,5,0,1,1
307,2003-10-04,2003,10,4,29,100.0,117,3984.6,5,0,1,1
308,2004-10-16,2004,10,4,24,100.0,117,3100.32,5,0,1,1
309,2004-11-03,2004,11,4,35,100.0,117,4850.3,5,0,1,1
310,2004-11-15,2004,11,4,46,83.63,117,3846.98,5,0,9,1
311,2004-11-24,2004,11,4,44,95.93,117,4220.92,5,0,1,1
312,2005-01-06,2005,1,1,34,96.73,117,3288.82,5,0,1,1
313,2005-02-08,2005,2,1,35,100.0,117,3987.2,5,0,1,1
314,2005-03-03,2005,3,1,25,72.38,117,1809.5,5,0,1,2
315,2005-05-17,2005,5,2,10,100.0,117,1092.2,5,0,1,2
316,2003-02-11,2003,2,1,29,100.0,173,4566.05,5,0,1,1
317,2003-04-16,2003,4,2,39,100.0,173,5938.14,5,0,1,1
320,2003-09-28,2003,9,3,49,100.0,173,7036.89,5,0,1,0
321,2003-10-22,2003,10,4,27,100.0,173,5559.03,5,0,1,1
322,2003-11-06,2003,11,4,50,100.0,173,7872.5,5,0,1,0
323,2003-11-14,2003,11,4,43,100.0,173,7886.2,5,0,4,0
324,2003-11-26,2003,11,4,38,100.0,173,7232.16,5,0,2,0
325,2004-01-02,2004,1,1,20,100.0,173,3114.4,5,0,1,1
326,2004-02-12,2004,2,1,27,100.0,173,5045.22,5,0,1,1
327,2004-03-19,2004,3,1,49,100.0,173,6952.12,5,0,1,1
328,2004-05-05,2004,5,2,27,100.0,173,4157.73,5,0,1,1
330,2004-08-20,2004,8,3,24,100.0,173,3778.8,5,0,1,1
332,2004-10-14,2004,10,4,20,100.0,173,3633.4,5,0,1,1
333,2004-10-22,2004,10,4,36,100.0,173,6913.8,5,0,1,1
334,2004-11-05,2004,11,4,24,100.0,173,2583.6,5,0,1,2
335,2004-11-20,2004,11,4,49,63.38,173,3105.62,5,0,1,1
336,2004-12-01,2004,12,4,26,100.0,173,4408.56,5,0,9,1
337,2004-12-15,2004,12,4,49,62.09,173,3042.41,5,0,1,1
338,2005-01-26,2005,1,1,34,100.0,173,5941.5,5,0,14,1
339,2005-02-17,2005,2,1,34,95.35,173,3241.9,5,0,1,1
340,2005-03-23,2005,3,1,33,100.0,173,6109.29,5,0,1,1
341,2005-05-05,2005,5,2,22,100.0,173,3387.78,5,0,2,1
342,2003-03-03,2003,3,1,39,89.38,79,3485.82,5,0,1,1
343,2003-05-08,2003,5,2,32,63.84,79,2042.88,5,0,1,2
344,2003-07-02,2003,7,3,24,75.01,79,1800.24,5,0,1,2
345,2003-09-05,2003,9,3,21,63.84,79,1340.64,5,0,4,2
346,2003-10-10,2003,10,4,24,73.42,79,1762.08,5,0,1,2
347,2003-11-04,2003,11,4,36,63.84,79,2298.24,5,0,7,2
348,2003-11-12,2003,11,4,20,81.4,79,1628.0,5,0,1,2
349,2003-11-20,2003,11,4,30,64.64,79,1939.2,5,0,1,2
350,2003-12-02,2003,12,4,44,82.99,79,3651.56,5,0,1,1
351,2004-01-15,2004,1,1,28,92.57,79,2591.96,5,0,1,2
352,2004-02-22,2004,2,1,37,77.41,79,2864.17,5,0,1,2
353,2004-04-09,2004,4,2,20,74.21,79,1484.2,5,0,1,2
354,2004-06-01,2004,6,2,25,90.17,79,2254.25,0,0,1,2
355,2004-07-06,2004,7,3,35,76.61,79,2681.35,5,0,1,2
356,2004-08-02,2004,8,3,38,83.79,79,3184.02,5,0,4,1
357,2004-08-30,2004,8,3,41,69.43,79,2846.63,5,0,1,2
358,2003-10-04,2003,10,4,22,76.61,79,1685.42,5,0,1,2
359,2004-10-16,2004,10,4,49,81.4,79,3988.6,5,0,1,1
360,2004-11-03,2004,11,4,38,73.42,79,2789.96,5,0,1,2
361,2004-11-15,2004,11,4,33,100.0,79,3607.56,5,0,9,1
362,2004-11-24,2004,11,4,36,93.56,79,3368.16,5,0,1,1
363,2005-01-06,2005,1,1,34,81.62,79,2775.08,5,0,1,2
364,2005-02-09,2005,2,1,24,67.83,79,1627.92,5,0,1,2
365,2005-03-03,2005,3,1,36,70.26,79,2529.36,5,0,1,2
366,2005-05-17,2005,5,2,34,90.17,79,3065.78,5,0,1,1
367,2003-01-31,2003,1,1,41,100.0,118,4615.78,5,5,1,1
368,2003-04-04,2003,4,2,46,100.0,118,5723.78,5,5,9,1
369,2003-06-03,2003,6,2,24,100.0,118,2559.6,5,5,9,2
370,2003-08-01,2003,8,3,21,100.0,118,2140.11,5,5,1,2
371,2003-09-21,2003,9,3,24,100.0,118,3327.6,5,5,1,1
372,2003-10-22,2003,10,4,48,100.0,118,6825.6,5,5,1,1
373,2003-11-06,2003,11,4,26,100.0,118,3543.28,5,5,1,1
374,2003-11-14,2003,11,4,37,100.0,118,4516.22,5,5,1,1
375,2003-11-25,2003,11,4,49,100.0,118,6445.46,5,5,9,1
376,2003-12-09,2003,12,4,34,99.54,118,3384.36,5,5,4,1
377,2004-02-10,2004,2,1,48,100.0,118,4891.68,5,5,1,1
378,2004-03-11,2004,3,1,36,100.0,118,4521.96,5,5,1,1
379,2004-05-05,2004,5,2,46,100.0,118,5069.66,5,5,1,1
380,2004-06-15,2004,6,2,46,100.0,118,6541.2,5,5,1,1
381,2004-07-20,2004,7,3,31,97.17,118,3012.27,5,5,1,1
382,2004-08-19,2004,8,3,41,100.0,118,5247.18,5,5,11,1
383,2004-09-08,2004,9,3,21,100.0,118,2214.87,5,5,9,2
384,2004-10-13,2004,10,4,38,100.0,118,4773.18,5,5,4,1
385,2004-10-22,2004,10,4,45,100.0,118,6185.7,5,5,1,1
386,2004-11-05,2004,11,4,26,58.38,118,1517.88,5,5,9,2
387,2004-11-20,2004,11,4,38,100.0,118,6372.6,5,5,1,1
388,2004-12-01,2004,12,4,48,100.0,118,5232.96,5,5,9,1
389,2004-12-10,2004,12,4,42,64.16,118,2694.72,5,5,1,2
390,2005-01-23,2005,1,1,49,35.71,118,1749.79,5,5,1,2
391,2005-02-17,2005,2,1,32,66.58,118,2130.56,5,5,1,2
392,2005-05-03,2005,5,2,54,100.0,118,5951.34,5,5,1,1
393,2005-05-31,2005,5,2,33,100.0,118,4692.6,2,5,1,1
394,2003-03-03,2003,3,1,36,100.0,115,3731.04,5,0,1,1
395,2003-05-08,2003,5,2,20,100.0,115,2142.0,5,0,1,2
396,2003-07-02,2003,7,3,29,97.89,115,2838.81,5,0,1,2
397,2003-09-05,2003,9,3,33,97.89,115,3230.37,5,0,4,1
398,2003-10-11,2003,10,4,50,100.0,115,5182.0,5,0,1,1
399,2003-11-04,2003,11,4,41,100.0,115,4391.1,5,0,1,1
400,2003-11-12,2003,11,4,36,100.0,115,4477.32,5,0,1,1
401,2003-11-20,2003,11,4,27,100.0,115,3544.56,5,0,5,1
402,2003-12-02,2003,12,4,47,100.0,115,5195.85,5,0,1,1
403,2004-01-16,2004,1,1,33,100.0,115,4180.44,5,0,1,1
404,2004-02-22,2004,2,1,21,100.0,115,2684.43,5,0,1,2
405,2004-04-12,2004,4,2,21,93.28,115,1958.88,5,0,1,2
406,2004-06-01,2004,6,2,41,100.0,115,4910.57,0,0,1,1
407,2004-07-06,2004,7,3,40,100.0,115,4468.4,5,0,1,1
408,2004-08-04,2004,8,3,28,100.0,115,3127.88,5,0,1,1
409,2004-08-30,2004,8,3,23,100.0,115,2675.13,5,0,1,2
410,2003-10-04,2003,10,4,23,100.0,115,2807.61,5,0,1,2
411,2004-10-16,2004,10,4,25,100.0,115,2504.75,5,0,1,2
412,2004-11-04,2004,11,4,24,100.0,115,2984.88,5,0,4,2
413,2004-11-15,2004,11,4,39,64.74,115,2524.86,5,0,9,2
414,2004-11-24,2004,11,4,55,75.2,115,4136.0,5,0,1,1
415,2005-01-06,2005,1,1,46,88.45,115,4068.7,5,0,1,1
416,2005-02-09,2005,2,1,50,100.0,115,5182.0,5,0,1,1
417,2005-03-03,2005,3,1,47,100.0,115,5243.79,5,0,1,1
419,2005-05-17,2005,5,2,32,100.0,115,3832.64,5,0,1,1
420,2003-01-29,2003,1,1,35,100.0,116,3920.0,5,5,1,1
421,2003-03-26,2003,3,1,49,100.0,116,4916.66,5,5,1,1
422,2003-05-28,2003,5,2,38,100.0,116,3857.0,5,5,1,1
423,2003-07-24,2003,7,3,32,100.0,116,4181.44,5,5,1,1
424,2003-09-19,2003,9,3,34,100.0,116,4641.0,5,5,1,1
425,2003-10-21,2003,10,4,36,99.17,116,3570.12,4,5,1,1
426,2003-11-06,2003,11,4,48,93.34,116,4480.32,5,5,13,1
427,2003-11-13,2003,11,4,21,96.84,116,2033.64,5,5,11,2
428,2003-11-25,2003,11,4,21,93.34,116,1960.14,5,5,1,2
429,2003-12-05,2003,12,4,34,100.0,116,3966.78,5,5,0,1
430,2004-01-29,2004,1,1,46,100.0,116,5152.0,5,5,1,1
431,2004-03-10,2004,3,1,32,100.0,116,3360.0,5,5,4,1
432,2004-05-04,2004,5,2,29,100.0,116,3451.0,5,5,2,1
433,2004-06-15,2004,6,2,41,100.0,116,5453.0,5,5,14,1
434,2004-07-19,2004,7,3,43,96.84,116,4164.12,5,5,7,1
435,2004-08-17,2004,8,3,24,100.0,116,2800.08,5,5,1,2
436,2004-09-08,2004,9,3,41,100.0,116,4687.94,5,5,1,1
437,2004-10-11,2004,10,4,46,98.0,116,4508.0,5,5,1,1
438,2004-10-21,2004,10,4,32,100.0,116,4181.44,5,5,1,1
439,2004-11-04,2004,11,4,22,100.0,116,2251.04,5,5,5,2
440,2004-11-18,2004,11,4,29,40.25,116,1167.25,5,5,1,2
441,2004-11-29,2004,11,4,42,49.6,116,2083.2,5,5,15,2
442,2004-12-10,2004,12,4,39,98.0,116,3822.0,5,5,1,1
443,2005-01-20,2005,1,1,27,100.0,116,3911.49,5,5,7,1
444,2005-02-17,2005,2,1,48,98.0,116,4704.0,5,5,1,1
445,2005-03-09,2005,3,1,29,85.1,116,2467.9,5,5,7,2
446,2005-05-01,2005,5,2,27,100.0,116,3213.0,5,5,12,1
447,2005-05-31,2005,5,2,54,100.0,116,7182.0,2,5,1,0
448,2003-03-10,2003,3,1,26,100.0,141,4379.18,5,0,11,1
449,2003-05-08,2003,5,2,34,100.0,141,5004.8,5,0,1,1
450,2003-07-04,2003,7,3,25,100.0,141,3644.75,5,0,1,1
451,2003-09-11,2003,9,3,23,100.0,141,2702.04,5,0,7,2
452,2003-10-17,2003,10,4,28,100.0,141,3764.88,5,0,1,1
453,2003-11-05,2003,11,4,35,100.0,141,4508.0,5,0,12,1
