ORDER_DATE,QUARTER,MONTH,YEAR,REGION,STATE,SHIPPING_TYPE,CUSTOMER_TYPE,QUANTITY_ORDERED,DEAL_SIZE,PRICE_EACH,MSRP,PRODUCT_TYPE,PRODUCT_LINE,SALES
2020-05-05,2,5,2020,Peninsular,KL,Free,New,38,Large,100.0,214,Skincare,Eye cream,7329.06
2021-07-07,3,7,2021,Peninsular,Selangor,Free,New,37,Large,100.0,214,Skincare,Moisturizer,7374.1
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,Existing,45,Large,100.0,214,Makeup,Masscara,10993.5
2021-10-10,4,10,2021,Peninsular,KL,Free,New,21,Medium,100.0,214,Skincare,Face mask,4860.24
2021-11-11,4,11,2021,Peninsular,Johor,Free,New,34,Large,100.0,214,Skincare,Makeup remover,8014.82
2021-11-11,4,11,2021,East,Sarawak,Free,New,23,Medium,100.0,214,Skincare,Essence,5372.57
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,Existing,42,Large,100.0,214,Makeup,Blush,7290.36
2021-12-12,4,12,2021,Peninsular,Negeri Sembilan,Free,Existing,47,Large,100.0,214,Makeup,Blush,9064.89
2021-01-01,1,1,2021,Peninsular,Selangor,Free,New,35,Medium,100.0,214,Makeup,Eyeliner,6075.3
2021-03-03,1,3,2021,East,Sabah,Free,New,29,Medium,100.0,214,Makeup,Masscara,6463.23
2021-05-05,2,5,2021,Peninsular,Perak,Free,Existing,34,Medium,100.0,214,Makeup,Concealer,6120.34
2020-06-06,2,6,2020,Peninsular,Johor,Free,Existing,32,Large,100.0,214,Makeup,Foundation,7680.64
2020-07-07,3,7,2020,Peninsular,Melaka,Free,Existing,21,Medium,100.0,214,Skincare,Face mask,4905.39
2021-08-08,3,8,2021,Peninsular,Kelantan,Free,New,34,Large,100.0,214,Skincare,Toner,8014.82
2021-09-09,3,9,2021,Peninsular,Negeri Sembilan,Free,New,37,Large,100.0,214,Makeup,Liquid Lip,7136.19
2020-10-10,4,10,2020,Peninsular,Kelantan,Free,New,47,Large,100.0,214,Skincare,Face mask,10172.7
2021-10-10,4,10,2021,Peninsular,Selangor,Free,New,48,Large,100.0,214,Makeup,Blush,11623.7
2020-11-11,4,11,2020,Peninsular,Perlis,Free,Existing,40,Medium,100.0,214,Skincare,Eye cream,6000.4
2020-11-11,4,11,2020,Peninsular,Selangor,Free,Existing,26,Medium,100.0,214,Makeup,Masscara,3003.0
2020-11-11,4,11,2020,Peninsular,Penang,Free,Existing,30,Medium,100.0,214,Makeup,Eyeliner,3944.7
2021-12-12,4,12,2021,Peninsular,Selangor,Free,New,32,Medium,100.0,214,Makeup,Eyebrow,5691.84
2020-01-01,1,1,2020,East,Sabah,Free,Existing,41,Medium,100.0,214,Skincare,Essence,4514.92
2020-02-02,1,2,2020,Peninsular,Selangor,Free,Existing,36,Large,100.0,214,Skincare,Essence,8254.8
2021-03-03,1,3,2021,Peninsular,Melaka,Free,Existing,24,Small,100.0,214,Makeup,Eyeliner,2416.56
2020-05-05,2,5,2020,Peninsular,Pahang,Free,Existing,23,Medium,100.0,214,Makeup,Liquid Lip,4140.23
2020-05-05,2,5,2020,Peninsular,Kedah,Customer paid,Existing,50,Large,100.0,214,Makeup,Foundation,12001.0
2020-02-02,1,2,2020,Peninsular,KL,Free,Existing,39,Medium,99.91,118,Skincare,Moisturizer,3896.49
2020-04-04,2,4,2020,Peninsular,Penang,Free,New,29,Small,96.34,118,Skincare,Cleanser,2793.86
2020-07-07,3,7,2020,Peninsular,Kelantan,Free,Existing,27,Medium,100.0,118,Makeup,Foundation,3307.77
2020-08-08,3,8,2020,Peninsular,Selangor,Free,Existing,37,Medium,100.0,118,Skincare,Eye cream,5192.95
2021-10-10,4,10,2021,Peninsular,Selangor,Free,New,37,Medium,100.0,118,Makeup,Masscara,5016.83
2021-10-10,4,10,2021,Peninsular,Selangor,Free,Existing,27,Medium,100.0,118,Skincare,Sunscreen,3660.93
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,New,42,Medium,100.0,118,Makeup,Foundation,4695.6
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,Existing,38,Medium,96.34,118,Makeup,Masscara,3660.92
2021-12-12,4,12,2021,Peninsular,Selangor,Free,Existing,24,Medium,100.0,118,Makeup,Eyeliner,3025.92
2021-01-01,1,1,2021,Peninsular,Kedah,Free,New,23,Medium,100.0,118,Skincare,Face mask,3009.09
2021-02-02,1,2,2021,Peninsular,Penang,Free,New,47,Medium,100.0,118,Makeup,Masscara,5422.39
2020-04-04,2,4,2020,East,Sarawak,Free,New,22,Small,100.0,118,Skincare,Moisturizer,2852.08
2020-05-05,2,5,2020,Peninsular,Penang,Free,Existing,44,Medium,100.0,118,Skincare,Cleanser,5756.52
2020-06-06,2,6,2020,Peninsular,Perak,Free,New,40,Medium,100.0,118,Skincare,Makeup remover,4472.0
2020-07-07,3,7,2020,Peninsular,Kelantan,Free,New,22,Small,100.0,118,Skincare,Toner,2904.44
2020-08-08,3,8,2020,East,Sabah,Free,Existing,47,Medium,100.0,118,Skincare,Moisturizer,6484.59
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,New,39,Medium,96.34,118,Skincare,Essence,3757.26
2020-10-10,4,10,2020,Peninsular,KL,Free,Existing,34,Medium,100.0,118,Skincare,Eye cream,4043.96
2020-11-11,4,11,2020,East,Sarawak,Free,New,45,Medium,100.0,118,Makeup,Masscara,5566.5
2021-11-11,4,11,2021,Peninsular,KL,Free,Existing,20,Medium,100.0,118,Skincare,Eye cream,3176.0
2021-11-11,4,11,2021,Peninsular,Johor,Free,New,40,Small,68.92,118,Skincare,Serum,2756.8
2021-12-12,4,12,2021,Peninsular,Melaka,Free,New,26,Small,51.15,118,Makeup,Eyeliner,1329.9
2020-02-02,1,2,2020,Peninsular,Johor,Free,New,39,Medium,100.0,118,Makeup,Concealer,5288.01
2021-03-03,1,3,2021,East,Sabah,Free,Existing,50,Small,44.51,118,Skincare,Cleanser,2225.5
2021-04-04,2,4,2021,Peninsular,Kelantan,Free,Existing,45,Medium,100.0,118,Skincare,Essence,5833.8
2021-05-05,2,5,2021,Peninsular,Kelantan,Customer paid,New,45,Medium,100.0,118,Makeup,Eyeliner,5887.35
2021-02-02,1,2,2021,Peninsular,KL,Free,New,27,Medium,100.0,193,Skincare,Face mask,6065.55
2021-04-04,2,4,2021,Peninsular,Penang,Free,Existing,46,Large,100.0,193,Makeup,Eyeliner,9264.86
2020-07-07,3,7,2020,Peninsular,Kelantan,Free,New,31,Large,100.0,193,Makeup,Lipstick,7023.98
2021-08-08,3,8,2021,Peninsular,Selangor,Free,New,33,Medium,100.0,193,Skincare,Moisturizer,5176.38
2021-10-10,4,10,2021,Peninsular,Selangor,Free,Existing,22,Medium,100.0,193,Skincare,Eye cream,4132.7
2020-10-10,4,10,2020,Peninsular,Selangor,Free,New,20,Medium,100.0,193,Makeup,Foundation,4183.0
2021-11-11,4,11,2021,Peninsular,Perak,Free,New,41,Large,100.0,193,Makeup,Masscara,8892.9
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,Existing,45,Large,100.0,193,Makeup,Eyeshadow,8714.7
2020-12-12,4,12,2020,Peninsular,Selangor,Free,Existing,49,Large,100.0,193,Makeup,Lipstick,8065.89
2021-01-01,1,1,2021,Peninsular,Kedah,Free,New,34,Medium,100.0,193,Makeup,Masscara,6123.4
2020-02-02,1,2,2020,Peninsular,Penang,Free,Existing,49,Large,100.0,193,Makeup,Lipstick,9774.03
2020-04-04,2,4,2020,Peninsular,KL,Free,Existing,39,Large,100.0,193,Skincare,Essence,7023.9
2021-05-05,2,5,2021,Peninsular,Penang,Free,New,43,Large,100.0,193,Skincare,Essence,7078.23
2021-06-06,2,6,2021,Peninsular,Perak,Free,Existing,41,Large,100.0,193,Skincare,Essence,8336.94
2021-07-07,3,7,2021,Peninsular,Kelantan,Free,New,36,Medium,100.0,193,Skincare,Moisturizer,6901.92
2021-08-08,3,8,2021,East,Sabah,Free,Existing,27,Medium,100.0,193,Makeup,Eyeliner,5438.07
2020-09-09,3,9,2020,Peninsular,Kelantan,Free,New,29,Medium,100.0,193,Skincare,Cleanser,6683.34
2021-10-10,4,10,2021,Peninsular,KL,Free,New,20,Medium,100.0,193,Makeup,Eyebrow,4570.4
2020-11-11,4,11,2020,East,Sarawak,Free,Existing,37,Large,100.0,193,Makeup,Masscara,7667.14
2021-11-11,4,11,2021,Peninsular,KL,Free,New,26,Medium,100.0,193,Makeup,Eyebrow,5868.2
2021-11-11,4,11,2021,Peninsular,Johor,Free,New,39,Small,76.67,193,Makeup,Eyeshadow,2990.13
2021-01-01,1,1,2021,Peninsular,Selangor,Free,New,22,Medium,100.0,193,Skincare,Moisturizer,3664.1
2020-02-02,1,2,2020,Peninsular,Johor,Free,New,22,Medium,100.0,193,Makeup,Lipstick,3834.38
2021-03-03,1,3,2021,East,Sabah,Free,New,21,Small,86.77,193,Makeup,Eyeliner,1822.17
2020-04-04,2,4,2020,Peninsular,Kelantan,Free,New,66,Large,100.0,193,Skincare,Makeup remover,11886.6
2020-05-05,2,5,2020,Peninsular,Kelantan,Customer paid,New,56,Large,100.0,193,Makeup,Eyeshadow,9218.16
2020-02-02,1,2,2020,Peninsular,Putrajaya,Free,Existing,50,Large,100.0,136,Skincare,Serum,7208.0
2020-04-04,2,4,2020,Peninsular,Perak,Free,Existing,46,Medium,100.0,136,Skincare,Makeup remover,5004.8
2020-06-06,2,6,2020,Peninsular,Kelantan,Free,New,33,Medium,100.0,136,Skincare,Face mask,4398.24
2020-08-08,3,8,2020,East,Sabah,Free,Existing,49,Medium,100.0,136,Makeup,Lipstick,5597.76
2020-10-10,4,10,2020,Peninsular,Kelantan,Free,Existing,32,Medium,100.0,136,Skincare,Essence,4526.08
2020-10-10,4,10,2020,Peninsular,Johor,Customer paid,New,44,Medium,100.0,136,Skincare,Toner,5924.16
2021-11-11,4,11,2021,Peninsular,Pahang,Free,Existing,24,Medium,100.0,136,Makeup,Liquid Lip,3492.48
2021-11-11,4,11,2021,Peninsular,Pahang,Free,New,26,Medium,100.0,136,Skincare,Eye cream,3854.24
2020-11-11,4,11,2020,Peninsular,Perak,Free,New,45,Medium,100.0,136,Makeup,Concealer,5324.4
2021-01-01,1,1,2021,Peninsular,Selangor,Free,Existing,39,Medium,100.0,136,Skincare,Moisturizer,5197.92
2021-02-02,1,2,2021,Peninsular,Selangor,Free,New,49,Medium,100.0,136,Skincare,Toner,5997.6
2021-05-05,2,5,2021,Peninsular,KL,Customer paid,New,20,Small,100.0,136,Makeup,Eyeliner,2910.4
2021-06-06,2,6,2021,Peninsular,Pahang,Free,Existing,27,Medium,100.0,136,Makeup,Blush,3378.24
2021-07-07,3,7,2021,Peninsular,Kelantan,Free,Existing,30,Medium,100.0,136,Skincare,Eye cream,3508.8
2021-08-08,3,8,2021,Peninsular,Negeri Sembilan,Free,New,25,Small,100.0,136,Skincare,Serum,2992.0
2020-09-09,3,9,2020,East,Sabah,Free,New,24,Medium,100.0,136,Skincare,Toner,3427.2
2021-10-10,4,10,2021,East,Sarawak,Free,Existing,22,Small,100.0,136,Skincare,Essence,2692.8
2021-11-11,4,11,2021,Peninsular,Terengganu,Free,New,33,Medium,100.0,136,Makeup,Eyebrow,4128.96
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,New,47,Medium,64.93,136,Makeup,Foundation,3051.71
2020-11-11,4,11,2020,Peninsular,KL,Free,Existing,25,Small,48.05,136,Makeup,Blush,1201.25
2021-12-12,4,12,2021,Peninsular,Perak,Free,New,26,Small,75.47,136,Skincare,Essence,1962.22
2021-12-12,4,12,2021,Peninsular,Kelantan,Free,Existing,48,Small,54.68,136,Makeup,Lipstick,2624.64
2021-01-01,1,1,2021,Peninsular,Kelantan,Free,New,39,Medium,100.0,136,Skincare,Face mask,4046.25
2021-02-02,1,2,2021,Peninsular,Selangor,Free,Existing,34,Medium,100.0,136,Skincare,Sunscreen,4846.7
2020-03-03,1,3,2020,Peninsular,Kelantan,Free,Existing,32,Medium,100.0,136,Makeup,Foundation,3370.56
2021-04-04,2,4,2021,Peninsular,Selangor,Free,Existing,64,Large,100.0,136,Skincare,Serum,9661.44
2020-05-05,2,5,2020,East,Sabah,Customer paid,Existing,19,Small,100.0,136,Makeup,Liquid Lip,2764.88
2021-01-01,1,1,2021,Peninsular,Kedah,Free,Existing,42,Medium,100.0,147,Skincare,Eye cream,5398.26
2020-04-04,2,4,2020,Peninsular,Kedah,Free,Existing,31,Medium,100.0,147,Makeup,Eyeshadow,4305.28
2021-05-05,2,5,2021,Peninsular,Kelantan,Free,Existing,22,Medium,100.0,147,Makeup,Liquid Lip,3347.74
2021-07-07,3,7,2021,Peninsular,Selangor,Free,New,26,Medium,100.0,147,Skincare,Face mask,3188.12
2021-09-09,3,9,2021,Peninsular,Kedah,Free,Existing,20,Medium,100.0,147,Skincare,Essence,3191.2
2021-10-10,4,10,2021,Peninsular,Kelantan,Customer paid,Existing,21,Medium,100.0,147,Skincare,Cleanser,3536.82
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,New,33,Medium,100.0,147,Makeup,Eyeshadow,5362.83
2020-11-11,4,11,2020,East,Sarawak,Free,New,28,Medium,100.0,147,Makeup,Foundation,3433.36
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,Existing,26,Medium,100.0,147,Skincare,Serum,4263.74
2021-12-12,4,12,2021,East,Sabah,Free,New,31,Medium,100.0,147,Skincare,Serum,4076.19
2020-02-02,1,2,2020,Peninsular,Kelantan,Free,New,48,Large,100.0,147,Skincare,Essence,7020.48
2020-03-03,1,3,2020,Peninsular,Selangor,Free,Existing,50,Medium,100.0,147,Makeup,Masscara,6426.5
2021-05-05,2,5,2021,Peninsular,Perak,Free,Existing,28,Medium,100.0,147,Makeup,Eyeshadow,4591.72
2020-06-06,2,6,2020,Peninsular,Kelantan,Free,New,26,Medium,100.0,147,Makeup,Eyeshadow,4033.38
2021-07-07,3,7,2021,Peninsular,Melaka,Free,Existing,32,Medium,100.0,147,Skincare,Eye cream,4302.08
2021-08-08,3,8,2021,East,Sarawak,Free,New,44,Large,100.0,147,Skincare,Sunscreen,7020.64
2020-09-09,3,9,2020,Peninsular,Kelantan,Free,Existing,30,Medium,100.0,147,Skincare,Sunscreen,3855.9
2021-10-10,4,10,2021,East,Sabah,Free,New,38,Medium,100.0,147,Skincare,Moisturizer,6680.78
2020-10-10,4,10,2020,Peninsular,Negeri Sembilan,Free,New,40,Medium,100.0,147,Makeup,Eyebrow,6678.0
2021-11-11,4,11,2021,Peninsular,Perlis,Free,New,46,Small,61.99,147,Skincare,Makeup remover,2851.54
2021-11-11,4,11,2021,Peninsular,Kelantan,Customer paid,Existing,26,Medium,100.0,147,Skincare,Essence,3188.12
2021-11-11,4,11,2021,Peninsular,Penang,Free,New,27,Medium,100.0,147,Makeup,Eyeshadow,4428.0
2021-12-12,4,12,2021,Peninsular,Selangor,Free,Existing,43,Medium,100.0,147,Makeup,Eyeshadow,5780.92
2020-01-01,1,1,2020,Peninsular,Melaka,Free,New,35,Small,65.63,147,Skincare,Moisturizer,2297.05
2021-02-02,1,2,2021,Peninsular,Selangor,Free,Existing,37,Medium,100.0,147,Makeup,Eyeliner,6231.54
2020-03-03,1,3,2020,Peninsular,Melaka,Free,Existing,37,Small,46.9,147,Skincare,Essence,1735.3
2020-05-05,2,5,2020,Peninsular,Pahang,Free,New,27,Medium,100.0,147,Makeup,Foundation,4427.73
2020-05-05,2,5,2020,Peninsular,Kelantan,Customer paid,New,38,Medium,100.0,147,Makeup,Eyeshadow,5894.94
2021-03-03,1,3,2021,Peninsular,Kelantan,Free,New,33,Medium,100.0,194,Skincare,Face mask,5265.15
2020-05-05,2,5,2020,Peninsular,KL,Free,New,42,Large,100.0,194,Skincare,Essence,7599.9
2021-07-07,3,7,2021,Peninsular,Selangor,Free,New,42,Large,100.0,194,Makeup,Eyebrow,8008.56
2021-09-09,3,9,2021,East,Sabah,Free,Existing,48,Large,100.0,194,Skincare,Toner,9245.76
2020-10-10,4,10,2020,Peninsular,Selangor,Free,New,41,Large,100.0,194,Skincare,Makeup remover,8296.35
2021-11-11,4,11,2021,Peninsular,Melaka,Free,Existing,30,Medium,100.0,194,Skincare,Sunscreen,5019.9
2021-11-11,4,11,2021,Peninsular,Negeri Sembilan,Free,Existing,27,Medium,100.0,194,Makeup,Foundation,5411.07
2021-11-11,4,11,2021,Peninsular,Kedah,Free,New,21,Medium,100.0,194,Skincare,Moisturizer,3840.9
2020-12-12,4,12,2020,Peninsular,Kelantan,Free,Existing,20,Medium,100.0,194,Makeup,Liquid Lip,3930.4
2021-01-01,1,1,2021,Peninsular,Terengganu,Free,New,41,Large,100.0,194,Makeup,Blush,7498.9
2021-02-02,1,2,2021,Peninsular,Terengganu,Free,New,27,Medium,100.0,194,Makeup,Foundation,4517.91
2021-04-04,2,4,2021,Peninsular,Kelantan,Free,New,28,Medium,100.0,194,Makeup,Liquid Lip,5774.72
2021-06-06,2,6,2021,Peninsular,Johor,Customer paid,New,24,Medium,100.0,194,Makeup,Eyeshadow,3922.56
2021-07-07,3,7,2021,Peninsular,Kelantan,Free,Existing,44,Large,100.0,194,Skincare,Face mask,9160.36
2020-08-08,3,8,2020,East,Sabah,Free,New,50,Large,100.0,194,Skincare,Face mask,9631.0
2021-08-08,3,8,2021,Peninsular,Kelantan,Free,Existing,21,Medium,100.0,194,Skincare,Toner,3432.24
2021-10-10,4,10,2021,Peninsular,Negeri Sembilan,Free,New,33,Medium,100.0,194,Skincare,Eye cream,5521.89
2020-10-10,4,10,2020,Peninsular,Kelantan,Free,Existing,33,Medium,100.0,194,Skincare,Makeup remover,6934.62
2021-11-11,4,11,2021,Peninsular,Negeri Sembilan,Free,New,31,Medium,100.0,194,Skincare,Face mask,6876.11
2020-11-11,4,11,2020,Peninsular,KL,Free,New,41,Small,71.47,194,Makeup,Liquid Lip,2930.27
2021-11-11,4,11,2021,Peninsular,Pahang,Free,New,45,Medium,79.65,194,Skincare,Serum,3584.25
2021-01-01,1,1,2021,Peninsular,Kelantan,Free,New,33,Small,85.39,194,Skincare,Eye cream,2817.87
2021-02-02,1,2,2021,Peninsular,Kelantan,Free,Existing,45,Medium,76.0,194,Makeup,Masscara,3420.0
2021-03-03,1,3,2021,Peninsular,Kedah,Free,New,26,Small,99.04,194,Skincare,Sunscreen,2575.04
2020-05-05,2,5,2020,Peninsular,Kelantan,Free,Existing,12,Small,100.0,194,Makeup,Masscara,1961.28
2020-02-02,1,2,2020,Peninsular,Kedah,Free,New,41,Large,100.0,207,Skincare,Eye cream,8690.36
2020-04-04,2,4,2020,Peninsular,Kelantan,Free,New,33,Medium,100.0,207,Makeup,Foundation,6034.38
2020-06-06,2,6,2020,Peninsular,KL,Free,New,46,Large,100.0,207,Makeup,Eyeshadow,11279.2
2021-08-08,3,8,2021,Peninsular,Selangor,Free,Existing,33,Large,100.0,207,Skincare,Eye cream,8023.29
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,New,20,Medium,100.0,207,Skincare,Toner,4904.0
2020-10-10,4,10,2020,Peninsular,Johor,Free,New,44,Large,100.0,207,Skincare,Cleanser,8594.52
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,New,33,Large,100.0,207,Makeup,Masscara,7474.5
2020-11-11,4,11,2020,East,Sabah,Free,New,21,Medium,100.0,207,Makeup,Eyeliner,3883.74
2021-11-11,4,11,2021,Peninsular,Perak,Free,New,47,Large,100.0,207,Skincare,Moisturizer,8887.7
2021-01-01,1,1,2021,Peninsular,Kelantan,Free,New,46,Large,100.0,207,Skincare,Serum,8602.92
2020-02-02,1,2,2020,Peninsular,Kelantan,Free,Existing,32,Large,100.0,207,Skincare,Essence,7181.44
2020-03-03,1,3,2020,Peninsular,Terengganu,Free,New,42,Large,100.0,207,Makeup,Eyebrow,8378.58
2020-05-05,2,5,2020,Peninsular,Kelantan,Free,Existing,44,Large,100.0,207,Makeup,Lipstick,10606.2
2020-07-07,3,7,2020,East,Sarawak,Free,Existing,35,Medium,100.0,207,Skincare,Serum,5818.4
2021-08-08,3,8,2021,Peninsular,Selangor,Free,Existing,41,Large,100.0,207,Skincare,Eye cream,7071.27
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,Existing,46,Large,100.0,207,Makeup,Lipstick,8411.56
2020-10-10,4,10,2020,Peninsular,Pahang,Free,Existing,31,Medium,100.0,207,Makeup,Eyeliner,6570.76
2021-10-10,4,10,2021,Peninsular,Kelantan,Free,Existing,38,Large,100.0,207,Makeup,Foundation,7975.44
2020-11-11,4,11,2020,Peninsular,Kedah,Free,New,42,Small,64.0,207,Skincare,Serum,2688.0
2020-11-11,4,11,2020,East,Sarawak,Free,Existing,33,Small,57.22,207,Skincare,Eye cream,1888.26
2020-11-11,4,11,2020,Peninsular,Kelantan,Free,Existing,48,Small,52.36,207,Skincare,Sunscreen,2513.28
2021-12-12,4,12,2021,Peninsular,Kelantan,Free,Existing,42,Medium,100.0,207,Makeup,Liquid Lip,4764.48
2020-01-01,1,1,2020,Peninsular,Selangor,Free,New,32,Medium,100.0,207,Skincare,Serum,3560.64
2020-02-02,1,2,2020,Peninsular,Selangor,Free,Existing,34,Medium,100.0,207,Makeup,Liquid Lip,3823.64
2020-03-03,1,3,2020,Peninsular,Kelantan,Free,New,33,Small,69.12,207,Skincare,Essence,2280.96
2020-05-05,2,5,2020,Peninsular,Perak,Free,Existing,36,Large,100.0,207,Makeup,Foundation,8677.8
2020-01-01,1,1,2020,Peninsular,Kelantan,Free,New,27,Medium,100.0,136,Makeup,Concealer,3394.98
2021-03-03,1,3,2021,Peninsular,Selangor,Free,Existing,21,Medium,100.0,136,Makeup,Liquid Lip,3415.44
2021-05-05,2,5,2021,Peninsular,Kelantan,Free,New,21,Small,100.0,136,Skincare,Sunscreen,2439.57
2021-07-07,3,7,2021,Peninsular,Selangor,Free,Existing,38,Medium,100.0,136,Skincare,Eye cream,4829.8
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,New,30,Medium,100.0,136,Skincare,Makeup remover,4100.1
2020-10-10,4,10,2020,Peninsular,Putrajaya,Customer paid,Existing,49,Medium,100.0,136,Makeup,Eyeliner,6563.06
2021-11-11,4,11,2021,Peninsular,Johor,Free,New,43,Medium,100.0,136,Makeup,Liquid Lip,6817.22
2020-11-11,4,11,2020,East,Sarawak,Free,Existing,41,Medium,100.0,136,Makeup,Eyeshadow,6163.94
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,New,38,Medium,100.0,136,Makeup,Eyebrow,4933.92
2020-12-12,4,12,2020,Peninsular,Negeri Sembilan,Free,New,28,Medium,100.0,136,Makeup,Concealer,4056.36
2021-02-02,1,2,2021,Peninsular,Kelantan,Free,Existing,43,Medium,100.0,136,Skincare,Essence,5759.42
2021-03-03,1,3,2021,Peninsular,Selangor,Free,New,25,Medium,100.0,136,Skincare,Essence,3451.0
2021-05-05,2,5,2021,Peninsular,Perak,Free,Existing,38,Medium,100.0,136,Makeup,Liquid Lip,5920.4
2021-06-06,2,6,2021,Peninsular,Johor,Free,Existing,41,Medium,100.0,136,Skincare,Eye cream,6668.24
2020-07-07,3,7,2020,Peninsular,Melaka,Free,Existing,28,Medium,100.0,136,Makeup,Concealer,4094.72
2020-08-08,3,8,2020,East,Sarawak,Free,New,25,Small,100.0,136,Skincare,Serum,2938.5
2020-09-09,3,9,2020,Peninsular,Kelantan,Free,New,41,Medium,100.0,136,Skincare,Sunscreen,6387.8
2021-10-10,4,10,2021,Peninsular,Pahang,Free,Existing,39,Medium,100.0,136,Skincare,Eye cream,6396.0
2021-10-10,4,10,2021,Peninsular,Negeri Sembilan,Free,Existing,21,Small,100.0,136,Makeup,Eyeliner,2669.1
2021-11-11,4,11,2021,Peninsular,Perlis,Free,Existing,27,Medium,100.0,136,Makeup,Eyeliner,4784.13
2021-11-11,4,11,2021,Peninsular,Selangor,Free,New,33,Medium,99.21,136,Skincare,Eye cream,3273.93
2021-11-11,4,11,2021,Peninsular,Penang,Free,Existing,29,Medium,100.0,136,Skincare,Essence,3586.43
2021-12-12,4,12,2021,Peninsular,Selangor,Free,Existing,49,Medium,100.0,136,Makeup,Concealer,5960.36
