,ORDER_DATE,QUARTER,MONTH,YEAR,REGION,STATE,SHIPPING_TYPE,CUSTOMER_TYPE,QUANTITY_ORDERED,DEAL_SIZE,PRICE_EACH,MSRP,PRODUCT_TYPE,PRODUCT_LINE,SALES
40,2020-07-07,3,7,2020,1,5,1,0,21,1,100.0,214,1,8,4905.39
41,2021-08-08,3,8,2021,1,3,1,1,34,0,100.0,214,1,17,8014.82
42,2021-09-09,3,9,2021,1,6,1,1,37,0,100.0,214,0,11,7136.19
43,2020-10-10,4,10,2020,1,3,1,1,47,0,100.0,214,1,8,10172.7
44,2021-10-10,4,10,2021,1,14,1,1,48,0,100.0,214,0,0,11623.7
45,2020-11-11,4,11,2020,1,10,1,0,40,1,100.0,214,1,4,6000.4
46,2020-11-11,4,11,2020,1,14,1,0,26,1,100.0,214,0,13,3003.0
47,2020-11-11,4,11,2020,1,8,1,0,30,1,100.0,214,0,6,3944.7
48,2021-12-12,4,12,2021,1,14,1,1,32,1,100.0,214,0,5,5691.84
49,2020-01-01,1,1,2020,0,12,1,0,41,1,100.0,214,1,3,4514.92
50,2020-02-02,1,2,2020,1,14,1,0,36,0,100.0,214,1,3,8254.8
51,2021-03-03,1,3,2021,1,5,1,0,24,2,100.0,214,0,6,2416.56
52,2020-05-05,2,5,2020,1,7,1,0,23,1,100.0,214,0,11,4140.23
53,2020-05-05,2,5,2020,1,2,0,0,50,0,100.0,214,0,9,12001.0
54,2020-02-02,1,2,2020,1,1,1,0,39,1,99.91,118,1,14,3896.49
55,2020-04-04,2,4,2020,1,8,1,1,29,2,96.34,118,1,1,2793.86
56,2020-07-07,3,7,2020,1,3,1,0,27,1,100.0,118,0,9,3307.77
57,2020-08-08,3,8,2020,1,14,1,0,37,1,100.0,118,1,4,5192.95
58,2021-10-10,4,10,2021,1,14,1,1,37,1,100.0,118,0,13,5016.83
59,2021-10-10,4,10,2021,1,14,1,0,27,1,100.0,118,1,16,3660.93
60,2021-11-11,4,11,2021,1,3,1,1,42,1,100.0,118,0,9,4695.6
61,2020-11-11,4,11,2020,1,3,1,0,38,1,96.34,118,0,13,3660.92
62,2021-12-12,4,12,2021,1,14,1,0,24,1,100.0,118,0,6,3025.92
63,2021-01-01,1,1,2021,1,2,1,1,23,1,100.0,118,1,8,3009.09
64,2021-02-02,1,2,2021,1,8,1,1,47,1,100.0,118,0,13,5422.39
65,2020-04-04,2,4,2020,0,13,1,1,22,2,100.0,118,1,14,2852.08
66,2020-05-05,2,5,2020,1,8,1,0,44,1,100.0,118,1,1,5756.52
67,2020-06-06,2,6,2020,1,9,1,1,40,1,100.0,118,1,12,4472.0
68,2020-07-07,3,7,2020,1,3,1,1,22,2,100.0,118,1,17,2904.44
69,2020-08-08,3,8,2020,0,12,1,0,47,1,100.0,118,1,14,6484.59
70,2021-09-09,3,9,2021,1,3,1,1,39,1,96.34,118,1,3,3757.26
71,2020-10-10,4,10,2020,1,1,1,0,34,1,100.0,118,1,4,4043.96
72,2020-11-11,4,11,2020,0,13,1,1,45,1,100.0,118,0,13,5566.5
73,2021-11-11,4,11,2021,1,1,1,0,20,1,100.0,118,1,4,3176.0
74,2021-11-11,4,11,2021,1,0,1,1,40,2,68.92,118,1,15,2756.8
75,2021-12-12,4,12,2021,1,5,1,1,26,2,51.15,118,0,6,1329.9
76,2020-02-02,1,2,2020,1,0,1,1,39,1,100.0,118,0,2,5288.01
77,2021-03-03,1,3,2021,0,12,1,0,50,2,44.51,118,1,1,2225.5
78,2021-04-04,2,4,2021,1,3,1,0,45,1,100.0,118,1,3,5833.8
79,2021-05-05,2,5,2021,1,3,0,1,45,1,100.0,118,0,6,5887.35
80,2021-02-02,1,2,2021,1,1,1,1,27,1,100.0,193,1,8,6065.55
81,2021-04-04,2,4,2021,1,8,1,0,46,0,100.0,193,0,6,9264.86
82,2020-07-07,3,7,2020,1,3,1,1,31,0,100.0,193,0,10,7023.98
83,2021-08-08,3,8,2021,1,14,1,1,33,1,100.0,193,1,14,5176.38
84,2021-10-10,4,10,2021,1,14,1,0,22,1,100.0,193,1,4,4132.7
85,2020-10-10,4,10,2020,1,14,1,1,20,1,100.0,193,0,9,4183.0
86,2021-11-11,4,11,2021,1,9,1,1,41,0,100.0,193,0,13,8892.9
87,2020-11-11,4,11,2020,1,3,1,0,45,0,100.0,193,0,7,8714.7
88,2020-12-12,4,12,2020,1,14,1,0,49,0,100.0,193,0,10,8065.89
89,2021-01-01,1,1,2021,1,2,1,1,34,1,100.0,193,0,13,6123.4
90,2020-02-02,1,2,2020,1,8,1,0,49,0,100.0,193,0,10,9774.03
91,2020-04-04,2,4,2020,1,1,1,0,39,0,100.0,193,1,3,7023.9
92,2021-05-05,2,5,2021,1,8,1,1,43,0,100.0,193,1,3,7078.23
93,2021-06-06,2,6,2021,1,9,1,0,41,0,100.0,193,1,3,8336.94
94,2021-07-07,3,7,2021,1,3,1,1,36,1,100.0,193,1,14,6901.92
95,2021-08-08,3,8,2021,0,12,1,0,27,1,100.0,193,0,6,5438.07
96,2020-09-09,3,9,2020,1,3,1,1,29,1,100.0,193,1,1,6683.34
97,2021-10-10,4,10,2021,1,1,1,1,20,1,100.0,193,0,5,4570.4
98,2020-11-11,4,11,2020,0,13,1,0,37,0,100.0,193,0,13,7667.14
99,2021-11-11,4,11,2021,1,1,1,1,26,1,100.0,193,0,5,5868.2
100,2021-11-11,4,11,2021,1,0,1,1,39,2,76.67,193,0,7,2990.13
101,2021-01-01,1,1,2021,1,14,1,1,22,1,100.0,193,1,14,3664.1
102,2020-02-02,1,2,2020,1,0,1,1,22,1,100.0,193,0,10,3834.38
103,2021-03-03,1,3,2021,0,12,1,1,21,2,86.77,193,0,6,1822.17
104,2020-04-04,2,4,2020,1,3,1,1,66,0,100.0,193,1,12,11886.6
105,2020-05-05,2,5,2020,1,3,0,1,56,0,100.0,193,0,7,9218.16
106,2020-02-02,1,2,2020,1,11,1,0,50,0,100.0,136,1,15,7208.0
107,2020-04-04,2,4,2020,1,9,1,0,46,1,100.0,136,1,12,5004.8
108,2020-06-06,2,6,2020,1,3,1,1,33,1,100.0,136,1,8,4398.24
109,2020-08-08,3,8,2020,0,12,1,0,49,1,100.0,136,0,10,5597.76
110,2020-10-10,4,10,2020,1,3,1,0,32,1,100.0,136,1,3,4526.08
111,2020-10-10,4,10,2020,1,0,0,1,44,1,100.0,136,1,17,5924.16
112,2021-11-11,4,11,2021,1,7,1,0,24,1,100.0,136,0,11,3492.48
113,2021-11-11,4,11,2021,1,7,1,1,26,1,100.0,136,1,4,3854.24
114,2020-11-11,4,11,2020,1,9,1,1,45,1,100.0,136,0,2,5324.4
115,2021-01-01,1,1,2021,1,14,1,0,39,1,100.0,136,1,14,5197.92
116,2021-02-02,1,2,2021,1,14,1,1,49,1,100.0,136,1,17,5997.6
117,2021-05-05,2,5,2021,1,1,0,1,20,2,100.0,136,0,6,2910.4
118,2021-06-06,2,6,2021,1,7,1,0,27,1,100.0,136,0,0,3378.24
119,2021-07-07,3,7,2021,1,3,1,0,30,1,100.0,136,1,4,3508.8
120,2021-08-08,3,8,2021,1,6,1,1,25,2,100.0,136,1,15,2992.0
121,2020-09-09,3,9,2020,0,12,1,1,24,1,100.0,136,1,17,3427.2
122,2021-10-10,4,10,2021,0,13,1,0,22,2,100.0,136,1,3,2692.8
123,2021-11-11,4,11,2021,1,15,1,1,33,1,100.0,136,0,5,4128.96
124,2020-11-11,4,11,2020,1,3,1,1,47,1,64.93,136,0,9,3051.71
125,2020-11-11,4,11,2020,1,1,1,0,25,2,48.05,136,0,0,1201.25
126,2021-12-12,4,12,2021,1,9,1,1,26,2,75.47,136,1,3,1962.22
127,2021-12-12,4,12,2021,1,3,1,0,48,2,54.68,136,0,10,2624.64
128,2021-01-01,1,1,2021,1,3,1,1,39,1,100.0,136,1,8,4046.25
129,2021-02-02,1,2,2021,1,14,1,0,34,1,100.0,136,1,16,4846.7
130,2020-03-03,1,3,2020,1,3,1,0,32,1,100.0,136,0,9,3370.56
131,2021-04-04,2,4,2021,1,14,1,0,64,0,100.0,136,1,15,9661.44
132,2020-05-05,2,5,2020,0,12,0,0,19,2,100.0,136,0,11,2764.88
133,2021-01-01,1,1,2021,1,2,1,0,42,1,100.0,147,1,4,5398.26
134,2020-04-04,2,4,2020,1,2,1,0,31,1,100.0,147,0,7,4305.28
135,2021-05-05,2,5,2021,1,3,1,0,22,1,100.0,147,0,11,3347.74
136,2021-07-07,3,7,2021,1,14,1,1,26,1,100.0,147,1,8,3188.12
137,2021-09-09,3,9,2021,1,2,1,0,20,1,100.0,147,1,3,3191.2
138,2021-10-10,4,10,2021,1,3,0,0,21,1,100.0,147,1,1,3536.82
139,2021-11-11,4,11,2021,1,3,1,1,33,1,100.0,147,0,7,5362.83
140,2020-11-11,4,11,2020,0,13,1,1,28,1,100.0,147,0,9,3433.36
141,2021-11-11,4,11,2021,1,3,1,0,26,1,100.0,147,1,15,4263.74
142,2021-12-12,4,12,2021,0,12,1,1,31,1,100.0,147,1,15,4076.19
143,2020-02-02,1,2,2020,1,3,1,1,48,0,100.0,147,1,3,7020.48
144,2020-03-03,1,3,2020,1,14,1,0,50,1,100.0,147,0,13,6426.5
145,2021-05-05,2,5,2021,1,9,1,0,28,1,100.0,147,0,7,4591.72
146,2020-06-06,2,6,2020,1,3,1,1,26,1,100.0,147,0,7,4033.38
147,2021-07-07,3,7,2021,1,5,1,0,32,1,100.0,147,1,4,4302.08
148,2021-08-08,3,8,2021,0,13,1,1,44,0,100.0,147,1,16,7020.64
149,2020-09-09,3,9,2020,1,3,1,0,30,1,100.0,147,1,16,3855.9
150,2021-10-10,4,10,2021,0,12,1,1,38,1,100.0,147,1,14,6680.78
151,2020-10-10,4,10,2020,1,6,1,1,40,1,100.0,147,0,5,6678.0
152,2021-11-11,4,11,2021,1,10,1,1,46,2,61.99,147,1,12,2851.54
153,2021-11-11,4,11,2021,1,3,0,0,26,1,100.0,147,1,3,3188.12
154,2021-11-11,4,11,2021,1,8,1,1,27,1,100.0,147,0,7,4428.0
155,2021-12-12,4,12,2021,1,14,1,0,43,1,100.0,147,0,7,5780.92
156,2020-01-01,1,1,2020,1,5,1,1,35,2,65.63,147,1,14,2297.05
157,2021-02-02,1,2,2021,1,14,1,0,37,1,100.0,147,0,6,6231.54
158,2020-03-03,1,3,2020,1,5,1,0,37,2,46.9,147,1,3,1735.3
159,2020-05-05,2,5,2020,1,7,1,1,27,1,100.0,147,0,9,4427.73
160,2020-05-05,2,5,2020,1,3,0,1,38,1,100.0,147,0,7,5894.94
161,2021-03-03,1,3,2021,1,3,1,1,33,1,100.0,194,1,8,5265.15
162,2020-05-05,2,5,2020,1,1,1,1,42,0,100.0,194,1,3,7599.9
163,2021-07-07,3,7,2021,1,14,1,1,42,0,100.0,194,0,5,8008.56
164,2021-09-09,3,9,2021,0,12,1,0,48,0,100.0,194,1,17,9245.76
165,2020-10-10,4,10,2020,1,14,1,1,41,0,100.0,194,1,12,8296.35
166,2021-11-11,4,11,2021,1,5,1,0,30,1,100.0,194,1,16,5019.9
167,2021-11-11,4,11,2021,1,6,1,0,27,1,100.0,194,0,9,5411.07
168,2021-11-11,4,11,2021,1,2,1,1,21,1,100.0,194,1,14,3840.9
169,2020-12-12,4,12,2020,1,3,1,0,20,1,100.0,194,0,11,3930.4
170,2021-01-01,1,1,2021,1,15,1,1,41,0,100.0,194,0,0,7498.9
171,2021-02-02,1,2,2021,1,15,1,1,27,1,100.0,194,0,9,4517.91
172,2021-04-04,2,4,2021,1,3,1,1,28,1,100.0,194,0,11,5774.72
173,2021-06-06,2,6,2021,1,0,0,1,24,1,100.0,194,0,7,3922.56
174,2021-07-07,3,7,2021,1,3,1,0,44,0,100.0,194,1,8,9160.36
175,2020-08-08,3,8,2020,0,12,1,1,50,0,100.0,194,1,8,9631.0
176,2021-08-08,3,8,2021,1,3,1,0,21,1,100.0,194,1,17,3432.24
177,2021-10-10,4,10,2021,1,6,1,1,33,1,100.0,194,1,4,5521.89
178,2020-10-10,4,10,2020,1,3,1,0,33,1,100.0,194,1,12,6934.62
179,2021-11-11,4,11,2021,1,6,1,1,31,1,100.0,194,1,8,6876.11
180,2020-11-11,4,11,2020,1,1,1,1,41,2,71.47,194,0,11,2930.27
181,2021-11-11,4,11,2021,1,7,1,1,45,1,79.65,194,1,15,3584.25
182,2021-01-01,1,1,2021,1,3,1,1,33,2,85.39,194,1,4,2817.87
183,2021-02-02,1,2,2021,1,3,1,0,45,1,76.0,194,0,13,3420.0
184,2021-03-03,1,3,2021,1,2,1,1,26,2,99.04,194,1,16,2575.04
185,2020-05-05,2,5,2020,1,3,1,0,12,2,100.0,194,0,13,1961.28
186,2020-02-02,1,2,2020,1,2,1,1,41,0,100.0,207,1,4,8690.36
187,2020-04-04,2,4,2020,1,3,1,1,33,1,100.0,207,0,9,6034.38
188,2020-06-06,2,6,2020,1,1,1,1,46,0,100.0,207,0,7,11279.2
189,2021-08-08,3,8,2021,1,14,1,0,33,0,100.0,207,1,4,8023.29
190,2021-09-09,3,9,2021,1,3,1,1,20,1,100.0,207,1,17,4904.0
191,2020-10-10,4,10,2020,1,0,1,1,44,0,100.0,207,1,1,8594.52
192,2020-11-11,4,11,2020,1,3,1,1,33,0,100.0,207,0,13,7474.5
193,2020-11-11,4,11,2020,0,12,1,1,21,1,100.0,207,0,6,3883.74
194,2021-11-11,4,11,2021,1,9,1,1,47,0,100.0,207,1,14,8887.7
195,2021-01-01,1,1,2021,1,3,1,1,46,0,100.0,207,1,15,8602.92
196,2020-02-02,1,2,2020,1,3,1,0,32,0,100.0,207,1,3,7181.44
197,2020-03-03,1,3,2020,1,15,1,1,42,0,100.0,207,0,5,8378.58
198,2020-05-05,2,5,2020,1,3,1,0,44,0,100.0,207,0,10,10606.2
199,2020-07-07,3,7,2020,0,13,1,0,35,1,100.0,207,1,15,5818.4
200,2021-08-08,3,8,2021,1,14,1,0,41,0,100.0,207,1,4,7071.27
201,2021-09-09,3,9,2021,1,3,1,0,46,0,100.0,207,0,10,8411.56
202,2020-10-10,4,10,2020,1,7,1,0,31,1,100.0,207,0,6,6570.76
203,2021-10-10,4,10,2021,1,3,1,0,38,0,100.0,207,0,9,7975.44
204,2020-11-11,4,11,2020,1,2,1,1,42,2,64.0,207,1,15,2688.0
205,2020-11-11,4,11,2020,0,13,1,0,33,2,57.22,207,1,4,1888.26
206,2020-11-11,4,11,2020,1,3,1,0,48,2,52.36,207,1,16,2513.28
207,2021-12-12,4,12,2021,1,3,1,0,42,1,100.0,207,0,11,4764.48
208,2020-01-01,1,1,2020,1,14,1,1,32,1,100.0,207,1,15,3560.64
209,2020-02-02,1,2,2020,1,14,1,0,34,1,100.0,207,0,11,3823.64
210,2020-03-03,1,3,2020,1,3,1,1,33,2,69.12,207,1,3,2280.96
211,2020-05-05,2,5,2020,1,9,1,0,36,0,100.0,207,0,9,8677.8
212,2020-01-01,1,1,2020,1,3,1,1,27,1,100.0,136,0,2,3394.98
213,2021-03-03,1,3,2021,1,14,1,0,21,1,100.0,136,0,11,3415.44
214,2021-05-05,2,5,2021,1,3,1,1,21,2,100.0,136,1,16,2439.57
215,2021-07-07,3,7,2021,1,14,1,0,38,1,100.0,136,1,4,4829.8
216,2021-09-09,3,9,2021,1,3,1,1,30,1,100.0,136,1,12,4100.1
217,2020-10-10,4,10,2020,1,11,0,0,49,1,100.0,136,0,6,6563.06
218,2021-11-11,4,11,2021,1,0,1,1,43,1,100.0,136,0,11,6817.22
219,2020-11-11,4,11,2020,0,13,1,0,41,1,100.0,136,0,7,6163.94
220,2021-11-11,4,11,2021,1,3,1,1,38,1,100.0,136,0,5,4933.92
221,2020-12-12,4,12,2020,1,6,1,1,28,1,100.0,136,0,2,4056.36
222,2021-02-02,1,2,2021,1,3,1,0,43,1,100.0,136,1,3,5759.42
223,2021-03-03,1,3,2021,1,14,1,1,25,1,100.0,136,1,3,3451.0
224,2021-05-05,2,5,2021,1,9,1,0,38,1,100.0,136,0,11,5920.4
225,2021-06-06,2,6,2021,1,0,1,0,41,1,100.0,136,1,4,6668.24
226,2020-07-07,3,7,2020,1,5,1,0,28,1,100.0,136,0,2,4094.72
227,2020-08-08,3,8,2020,0,13,1,1,25,2,100.0,136,1,15,2938.5
228,2020-09-09,3,9,2020,1,3,1,1,41,1,100.0,136,1,16,6387.8
229,2021-10-10,4,10,2021,1,7,1,0,39,1,100.0,136,1,4,6396.0
230,2021-10-10,4,10,2021,1,6,1,0,21,2,100.0,136,0,6,2669.1
231,2021-11-11,4,11,2021,1,10,1,0,27,1,100.0,136,0,6,4784.13
232,2021-11-11,4,11,2021,1,14,1,1,33,1,99.21,136,1,4,3273.93
233,2021-11-11,4,11,2021,1,8,1,0,29,1,100.0,136,1,3,3586.43
234,2021-12-12,4,12,2021,1,14,1,0,49,1,100.0,136,0,2,5960.36
235,2021-01-01,1,1,2021,1,5,1,0,49,0,100.0,136,1,15,8470.14
236,2020-02-02,1,2,2020,1,14,1,0,20,2,100.0,136,0,2,2952.0
237,2021-03-03,1,3,2021,1,5,1,0,39,2,63.2,136,1,4,2464.8
238,2021-05-05,2,5,2021,1,7,1,0,40,1,100.0,136,1,4,6232.0
239,2021-05-05,2,5,2021,1,3,0,0,49,0,100.0,136,1,3,7969.36
240,2020-02-02,1,2,2020,1,1,1,1,21,1,100.0,150,1,12,3036.6
241,2021-05-05,2,5,2021,1,3,1,0,50,0,100.0,150,1,17,8284.0
242,2021-07-07,3,7,2021,1,3,1,0,20,2,100.0,150,0,6,2711.2
243,2020-08-08,3,8,2020,1,14,1,0,49,0,100.0,150,0,9,8339.8
244,2020-10-10,4,10,2020,1,14,1,1,38,1,100.0,150,1,3,6238.84
245,2020-11-11,4,11,2020,1,5,1,1,35,1,100.0,150,1,12,4639.25
246,2021-11-11,4,11,2021,1,3,1,0,40,1,100.0,150,1,8,6747.6
247,2020-11-11,4,11,2020,1,14,1,0,28,1,100.0,150,0,11,4512.48
248,2020-12-12,4,12,2020,1,14,1,0,25,1,100.0,150,1,12,4029.0
249,2021-01-01,1,1,2021,1,3,1,1,36,1,100.0,150,0,0,4771.8
250,2021-02-02,1,2,2021,1,3,1,0,43,1,100.0,150,1,4,6087.94
251,2021-04-04,2,4,2021,1,1,1,0,32,1,100.0,150,0,9,4193.28
252,2020-05-05,2,5,2020,1,8,1,1,46,0,100.0,150,1,12,7552.28
253,2020-06-06,2,6,2020,1,9,1,0,48,1,100.0,150,1,15,6434.4
254,2020-08-08,3,8,2020,0,12,1,0,43,1,100.0,150,0,6,5181.5
255,2020-08-08,3,8,2020,0,12,1,0,49,1,100.0,150,1,1,6863.92
256,2020-09-09,3,9,2020,1,3,1,0,24,1,100.0,150,0,7,4157.04
257,2020-10-10,4,10,2020,1,7,1,0,26,1,100.0,150,0,6,4660.24
258,2021-11-11,4,11,2021,1,1,1,0,30,1,100.0,150,0,9,4111.8
259,2021-11-11,4,11,2021,1,1,1,0,24,1,100.0,150,1,3,3542.64
260,2020-11-11,4,11,2020,1,3,1,0,55,0,100.0,150,0,2,8118.55
261,2021-01-01,1,1,2021,1,14,1,0,22,1,100.0,150,0,5,3877.06
262,2020-02-02,1,2,2020,1,3,1,1,49,1,78.92,150,1,16,3867.08
263,2020-03-03,1,3,2020,0,12,1,1,44,1,100.0,150,1,12,5951.44
264,2021-04-04,2,4,2021,1,3,1,0,66,0,100.0,150,0,2,8648.64
265,2021-05-05,2,5,2021,1,7,0,1,21,1,100.0,150,1,1,3447.78
266,2021-01-01,1,1,2021,1,3,1,1,34,1,100.0,151,0,13,5958.5
267,2020-04-04,2,4,2020,1,9,1,0,43,1,100.0,151,0,9,5911.64
268,2021-06-06,2,6,2021,1,1,1,0,46,0,100.0,151,0,9,7366.44
269,2020-08-08,3,8,2020,1,14,1,1,33,1,100.0,151,0,2,4985.64
270,2021-09-09,3,9,2021,1,3,1,1,42,1,100.0,151,1,17,5393.64
271,2021-10-10,4,10,2021,1,2,1,0,34,1,100.0,151,0,5,4880.02
272,2021-11-11,4,11,2021,1,3,1,1,47,0,100.0,151,1,8,8378.69
273,2021-11-11,4,11,2021,0,12,1,0,33,1,100.0,151,0,11,4038.21
274,2021-11-11,4,11,2021,1,9,1,1,24,1,100.0,151,0,9,3807.12
275,2020-01-01,1,1,2020,1,3,1,0,26,1,100.0,151,0,6,3142.36
276,2020-02-02,1,2,2020,1,3,1,0,30,1,100.0,151,0,9,4713.6
277,2021-03-03,1,3,2021,1,0,1,1,43,0,100.0,151,0,13,7016.31
278,2021-05-05,2,5,2021,1,0,1,0,25,1,100.0,151,0,9,4381.25
279,2021-07-07,3,7,2021,0,13,1,0,27,1,100.0,151,1,17,4283.01
280,2020-08-08,3,8,2020,1,14,1,1,27,1,100.0,151,0,5,4364.82
281,2020-09-09,3,9,2020,1,3,1,0,24,1,100.0,151,1,15,4242.24
282,2020-10-10,4,10,2020,1,7,1,0,34,1,100.0,151,0,13,4982.7
283,2021-10-10,4,10,2021,1,3,1,0,46,1,100.0,151,0,0,6393.54
284,2021-11-11,4,11,2021,1,1,1,0,27,2,54.33,151,0,2,1466.91
285,2021-11-11,4,11,2021,1,3,1,0,33,1,100.0,151,0,6,4059.33
286,2020-11-11,4,11,2020,1,7,1,0,47,1,100.0,151,0,6,4801.52
287,2020-12-12,4,12,2020,1,15,1,0,49,2,55.34,151,0,7,2711.66
288,2021-01-01,1,1,2021,1,0,1,0,40,1,100.0,151,0,10,5862.0
289,2020-02-02,1,2,2020,1,14,1,0,37,1,100.0,151,1,14,4071.85
290,2020-05-05,2,5,2020,1,9,1,1,47,0,100.0,151,0,6,8236.75
291,2020-03-03,1,3,2020,1,3,1,1,45,1,100.0,117,0,9,6130.35
292,2020-05-05,2,5,2020,1,3,1,0,37,1,99.82,117,1,17,3693.34
293,2020-07-07,3,7,2020,1,14,1,0,48,1,100.0,117,0,0,6031.68
294,2021-09-09,3,9,2021,0,12,1,1,31,1,100.0,117,1,8,3494.94
295,2020-10-10,4,10,2020,1,14,1,0,46,1,100.0,117,0,10,5294.14
296,2021-11-11,4,11,2021,1,3,1,1,47,1,100.0,117,1,14,5464.69
297,2021-11-11,4,11,2021,1,3,1,1,28,2,100.0,117,1,14,2860.76
298,2021-11-11,4,11,2021,1,0,1,1,40,1,100.0,117,1,4,5590.0
299,2021-12-12,4,12,2021,1,3,1,0,20,2,100.0,117,1,3,2254.8
300,2021-01-01,1,1,2021,1,7,1,0,39,1,100.0,117,1,8,4946.76
301,2021-02-02,1,2,2021,1,3,1,0,25,2,99.82,117,0,13,2495.5
302,2021-04-04,2,4,2021,1,3,1,1,29,1,100.0,117,1,3,3167.38
303,2021-06-06,2,6,2021,1,7,0,1,22,2,100.0,117,0,11,2402.84
304,2021-07-07,3,7,2021,1,3,1,0,22,2,100.0,117,1,14,2454.54
305,2021-08-08,3,8,2021,0,12,1,1,47,1,100.0,117,1,4,5464.69
306,2020-08-08,3,8,2020,1,3,1,0,45,1,100.0,117,1,4,4756.5
307,2021-10-10,4,10,2021,1,6,1,0,29,1,100.0,117,1,16,3984.6
308,2020-10-10,4,10,2020,1,3,1,0,24,1,100.0,117,0,13,3100.32
309,2020-11-11,4,11,2020,1,7,1,0,35,1,100.0,117,0,11,4850.3
310,2020-11-11,4,11,2020,1,1,1,0,46,1,83.63,117,0,9,3846.98
311,2020-11-11,4,11,2020,1,9,1,0,44,1,95.93,117,0,5,4220.92
312,2020-01-01,1,1,2020,1,3,1,1,34,1,96.73,117,1,17,3288.82
313,2020-02-02,1,2,2020,1,14,1,1,35,1,100.0,117,0,9,3987.2
314,2021-03-03,1,3,2021,1,3,1,1,25,2,72.38,117,1,12,1809.5
315,2021-05-05,2,5,2021,1,2,1,0,10,2,100.0,117,0,10,1092.2
316,2020-02-02,1,2,2020,1,2,1,1,29,1,100.0,173,0,13,4566.05
317,2020-04-04,2,4,2020,1,3,1,0,39,1,100.0,173,1,1,5938.14
318,2021-06-06,2,6,2021,1,1,1,0,42,0,100.0,173,1,4,8138.76
